Gene	GeneEntrezID	Protein	Alias	EvidenceDescription	Reference
NRBF2	29982	 nuclear receptor binding factor 2		Nrbf2 knockout attenuates the recruitment of APP and APP-CTFs into phagophores and the sorting of APP and APP-CTFs into endosomal intralumenal vesicles	Autophagy  2017;13(12):2028-2040. 
PICALM 	8301	phosphatidylinositol binding clathrin assembly protein 		" Decreased CALM expression reduces Abeta42 to total
Abeta ratio through clathrin-mediated endocytosis of gamma-secretase.
"	Nat Commun 5: 3386 (2014); Nat Neurosci 18: 978 – 987; EMBO Mol Med (2016) 8: 595–608
PPP2CA	5515	pprotein phosphatase 2 catalytic subunit alpha	PP2Ac, PP2CA, PP2Calpha, RP-C	Silencing PP2A inhibitor by lenti-shRNA interference ameliorates neuropathologies and memory deficits in tg2576 mice.	Mol Ther  2013;21(12):2247-57;J Biol Chem. 1995;270:4854–4860;J Cell Mol Med. 2008;12(1):241-57. 
PSEN1	5663	Presenilin-1	ACNINV3, AD3, FAD, PS-1, PS1, S182	Neuronal deficiency of presenilin 1 inhibits amyloid plaque formation and corrects hippocampal long-term potentiation but not a cognitive defect of amyloid precursor protein [V717I] transgenic mice.	J Neurosci  2002;22(9):3445-53;Neuron  2016;90(2):410-6. 
PTPRC	5788	protein tyrosine phosphatase, receptor type C	protein tyrosine phosphatase, receptor type C	CD45 deficiency drives amyloid-β peptide oligomers and neuronal loss in Alzheimer's disease mice.	J Neurosci  . 2011;31(4):1355-65.
RTN3	10313	reticulon 3	HAP; ASYIP; NSPL2; NSPLII; RTN3-A1	Impact of RTN3 deficiency on expression of BACE1 and amyloid deposition.	J Neurosci  2014;34(42):13954-62.
S100A9	6280	S100 calcium binding protein A9 	60B8AG, CAGB, CFAG, CGLB, L1AG, LIAG, MAC387, MIF, MRP14, NIF, P14	Mrp14 deficiency ameliorates amyloid β burden by increasing microglial phagocytosis and modulation of amyloid precursor protein processing.	J Neurosci  2012 Dec 5;32(49):17824-9. 
SERPINA3	12	Alpha-1-antichymotrypsin		Alpha 1-antichymotrypsin regulates Alzheimer beta-amyloid peptide fibril formation.	Proc Natl Acad Sci U S A  1995;92(6):2313-7;J Neurosci 2001;21(5):1444-51.
SMPD3	55512	sphingomyelin phosphodiesterase 3 	NSMASE2	SMPD3 deficiency perturbs neuronal proteostasis and causes progressive cognitive impairment; Neutral Sphingomyelinase-2 Deficiency Ameliorates Alzheimer's Disease Pathology and Improves Cognition in the 5XFAD Mouse.	Cell Death Dis  2018;9(5):507.;J Neurosci  2016;36(33):8653-67. 
SNCA	6622	α-Synuclein (αSyn) 		Bidirectional modulation of Alzheimer phenotype by alpha-synuclein in mice and primary neurons.	Acta Neuropathol  2018; 136:589–605
SOD1 	6647	superoxide dismutase 1	ALS, ALS1, HEL-S-44, IPOA, SOD, hSod1, homodimer	SOD1 (copper/zinc superoxide dismutase) deficiency drives amyloid β protein oligomerization and memory loss in mouse model of Alzheimer disease.	J Biol Chem  2011;286(52):44557-68
SORL1	6653	sortilin related receptor 1	LR11; LRP9; SORLA; gp250; SorLA-1; C11orf32	"Neuronal sorting
protein-related receptor sorLA/LR11 regulates processing of the amyloid
precursor protein. "	Proc Natl Acad Sci U S A 102: 13461–13466 (2005); EMBO Mol Med (2016) 8: 595–608
SUMO1	7341	small ubiquitin-like modifier 1		SUMO1 promotes Aβ production via the modulation of autophagy.	Autophagy 2015;11(1):100-12;Neurobiol Dis 2018;110:154-165.
SYK	6850	spleen associated tyrosine kinase		The spleen tyrosine kinase (Syk) regulates Alzheimer amyloid-β production and Tau hyperphosphorylation.	J Biol Chem  2014;289(49):33927-44. 
TGFB1	7040	transforming growth factor beta 1 	CED, DPD1, IBDIMDE, LAP, TGFB, TGFbeta	Deficiency in neuronal TGF-beta signaling promotes neurodegeneration and Alzheimer's pathology.	J Clin Invest  2006;116(11):3060-9.
TREM2	54209	triggering receptor expressed on myeloid cells 2	PLOSL2, TREM-2, Trem2a, Trem2b, Trem2c	TREM2 deficiency reduces the efficacy of immunotherapeutic amyloid clearance.	EMBO Mol Med 2016;8(9):992-1004. J Exp Med  2015;212(3):287-95.；Nat Rev Neurosci  2016;17(4):201-7;
RyR2	6262	ryanodine receptor 2	ARVC2, ARVD2, RYR-2, RyR, VTSIP	Post-translational remodeling of ryanodine receptor induces calcium leak leading to Alzheimer's disease-like pathologies and cognitive deficits;Amyloid β production is regulated by β2-adrenergic signaling-mediated post-translational modifications of the ryanodine receptor.	Acta Neuropathol  2017 Nov;134(5):749-767;J Biol Chem  2017;292(24):10153-10168;
Gene symbol	Gene Entrez ID	Protein	Alias	Evidence description	Reference
ADIPOQ	9370	adiponectin	ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28	"
Chronic adiponectin deficiency leads to Alzheimer's disease-like cognitive impairments and pathologies through AMPK inactivation and cerebral insulin resistance in aged mice."	Mol Neurodegener  2016;11(1):71.
ALOX5	240	Knockout of 5-lipoxygenase prevents dexamethasone-induced tau pathology in 3xTg mice.	5-LO, 5-LOX, 5LPG, LOG5	Knockout of 5-lipoxygenase prevents dexamethasone-induced tau pathology in 3xTg mice	Aging Cell 2013;12(4):706-11. 
APOE	348	Apolipoprotein E 4	AD2, APO-E, ApoE4, LDLCQ5, LPG	ApoE4 markedly exacerbates tau-mediated neurodegeneration in a mouse model of tauopathy.	Nature  2017;549(7673):523-527
APP	351	Amyloid-beta A4 protein	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, preA4, APP	Amyloid precursor protein reduction enhances the formation of neurofibrillary tangles in a mutant tau transgenic mouse model.	"Neurobiol Aging  2017;55:202-212;
Science  2001;293(5534):1487-91."
BIN1	274	bridging integrator 1 	AMPH2, AMPHL, CNM2, SH3P9	Loss of Bin1 Promotes the Propagation of Tau Pathology.	Cell Rep  2016 Oct 18;17(4):931-940.
CDK5	1020	cyclin dependent kinase 5	LIS7; PSSALRE	Silencing of CDK5 reduces neurofibrillary tangles in transgenic alzheimer's mice;Inhibition of p25/Cdk5 Attenuates Tauopathy in Mouse and iPSC Models of Frontotemporal Dementia.	J Neurosci 2010;30(42):13966-76;J Neurosci 2017;37(41):9917-9924.
Cnga2 	1260	cyclic nucleotide-gated channel alpha 2 	CNCA, CNCA1, CNG2, OCNC1, OCNCALPHA, OCNCa	Cnga2 Knockout Mice Display Alzheimer's-Like Behavior Abnormities and Pathological Changes.	Mol Neurobiol 2016;53(7):4992-9.
CSNK1D	1453	Casein kinase I isoform delta		Casein kinase 1 delta phosphorylates tau and disrupts its binding to microtubules.	J Biol Chem  2004;279(16):15938-45.
CX3CR1 	1524	C-X3-C motif chemokine receptor 1	CCRL1, CMKBRL1, CMKDR1, GPR13, GPRV28, V28	the CX3CR1/CX3CL1 axis plays a key role in the phagocytosis of Tau by microglia in vitro and in vivo and that it is affected as AD progresses	Mol Neurodegener  2017;12(1):59；Nat Neurosci  2010;13(4):411-3;Redox Biol  2019;22:101118
CYFIP2	26999	Cytoplasmic FMR1 interacting protein 2		Alzheimer-related decrease in CYFIP2 links amyloid production to tau hyperphosphorylation and memory loss.	Brain  2016;139(Pt 10):2751-2765.
DAPK1	1612	death-associated protein kinase 1 		Death-associated protein kinase 1 has a critical role in aberrant tau protein regulation and function.	Cell Death Dis  2014;5:e1237.
Dyrk1A	1859	dual-specificity tyrosine phosphorylation-regulated kinase-1A		Dyrk1 inhibition improves Alzheimer's disease-like pathology.	Aging Cell  2017;16(5):1146-1154; Neurobiol Dis 2017;106:76-88
FYN	2534	FYN proto-oncogene, Src family tyrosine kinase	SLK; SYN; p59-FYN	Fyn knock-down increases Aβ, decreases phospho-tau, and worsens spatial learning in 3×Tg-AD mice.	Neurobiol Aging  2012;33(4):825.e15-24. 
GRN	2896	granulin precursor	CLN11, GEP, GP88, PCDGF, PEPI, PGRN	global PGRN reduction induces microglial TNG expression and increases AD risk by exacerbating neuronal injury and tau pathology, rather than by accelerating Aβ pathology.	Acta Neuropathol  2017;133(5):785-807.
GSK3B	2932	glycogen synthase kinase 3 beta		Selectively silencing GSK-3 isoforms reduces plaques and tangles in mouse models of Alzheimer's disease;RNA Interference Silencing of Glycogen Synthase Kinase 3β Inhibites Tau Phosphorylation in Mice with Alzheimer Disease.	J Neurosci  2012;32(21):7392-402; Neurochem Res. 2016;41(9):2470-80. 
HDAC6	10013	histone deacetylase 6	CPBHM, HD6, JM21, PPP1R90	HDAC6 mutations rescue human tau-induced microtubule defects in Drosophila.	Proc Natl Acad Sci U S A  2013;110(12):4604-9.
IL33	90865	Interleukin3		Interleukin33 deficiency causes tau abnormality and neurodegeneration with Alzheimer-like symptoms in aged mice.	"
Transl Psychiatry. 2017;7(7):e1164."
MAPT	4137	Microtubule-associated protein tau	TAU; MSTD; PPND; DDPAC; MAPTL; MTBT1; MTBT2; FTDP-17; PPP1R103	Tau reduction prevents neuronal loss and reverses pathological tau deposition and seeding in mice with tauopathy.	Sci Transl Med  2017 Jan 25;9(374). pii: eaag0481；Ann Neurol  2014 Sep;76(3):443-56.
NFE2L2	4780	nuclear factor, erythroid 2 like 2		NRF2 deficiency replicates transcriptomic changes in Alzheimer's patients and worsens APP and TAU pathology; Deficiency in the transcription factor NRF2 worsens inflammatory parameters in a mouse model with combined tauopathy and amyloidopathy.	Redox Biol  2017;13:444-451.;Redox Biol  2018;18:173-180.
NUAK1 	9891	NUAK family kinase 1 		Reduction of Nuak1 Decreases Tau and Reverses Phenotypes in a Tauopathy Mouse Model.	Neuron  2016;92(2):407-418
PPP2CA	5515	protein phosphatase 2 catalytic subunit alpha	PP2Ac, PP2CA, PP2Calpha, RP-C	Tau protein phosphatases in Alzheimer’s disease: The leading role of PP2A	Ageing Research Reviews 12 (2013) 39–49
SERPINA3	12	Alpha1-antichymotrypsin		Alpha1-antichymotrypsin, an inflammatory protein overexpressed in Alzheimer's disease brain, induces tau phosphorylation in neurons.	Brain 2006;129(Pt 11):3020-34.
SMPD3	55512	sphingomyelin phosphodiesterase 3 	NSMASE2	Neutral Sphingomyelinase-2 Deficiency Ameliorates Alzheimer's Disease Pathology and Improves Cognition in the 5XFAD Mouse.	J Neurosci  2016;36(33):8653-67;Cell Death Dis  2018;9(5):507. 
SQSTM1	8878	sequestosome 1	A170, DMRV, FTDALS3, NADGP, OSIL, PDB3, ZIP3, p60, p62, P62b	The cargo receptor SQSTM1 ameliorates neurofibrillary tangle pathology and spreading through selective targeting of pathological MAPT (microtubule associated protein tau).	Autophagy 2019;15(4):583-598.
SYK	6850	spleen associated tyrosine kinase		The spleen tyrosine kinase (Syk) regulates Alzheimer amyloid-β production and Tau hyperphosphorylation.	J Biol Chem  2014;289(49):33927-44. 
TREM2	54209	triggering receptor expressed on myeloid cells 2	PLOSL2, TREM-2, Trem2a, Trem2b, Trem2c	TREM2 deficiency reduces the efficacy of immunotherapeutic amyloid clearance.	EMBO Mol Med  . 2016;8(9):992-1004. J Exp Med  2015;212(3):287-95.
TYROBP	7305	TYRO protein tyrosine kinase binding protein	DAP12; KARAP; PLOSL; PLOSL1	Deficiency of TYROBP, an adapter protein for TREM2 and CR3 receptors, is neuroprotective in a mouse model of early Alzheimer's pathology.	Acta Neuropathol  2017 Nov;134(5):769-788. 
