"Rank"	"NodeID"	"Drug"	"Score"
118	"DB00533"	"rofecoxib"	4.48589844286889e-07
119	"DB00863"	"ranitidine"	4.38209567689944e-07
120	"DB01105"	"sibutramine"	4.33219326050639e-07
121	"DB09213"	"dexibuprofen"	4.25118291946292e-07
122	"DB01076"	"atorvastatin"	4.24577053552539e-07
123	"DB04884"	"dapoxetine"	4.15210273968191e-07
124	"DB01043"	"memantine"	4.08662893013027e-07
125	"DB01095"	"fluvastatin"	3.99344663022434e-07
126	"DB00194"	"vidarabine"	3.96900348718282e-07
127	"DB14726"	"dabigatran"	3.81597142822208e-07
128	"DB00594"	"amiloride"	3.64876317720214e-07
129	""	"khellin"	3.59229933440315e-07
130	"DB12713"	"sotagliflozin"	3.54945953126357e-07
131	"DB14895"	"vibegron"	3.45209874181188e-07
132	"DB00176"	"fluvoxamine"	3.43832487283428e-07
133	"DB07477"	"felbinac"	3.33032673937507e-07
134	"DB09241"	"methylene blue"	3.28234924531942e-07
135	"DB00641"	"simvastatin"	3.26129443379587e-07
136	"DB11824"	"tofogliflozin"	3.23570101857313e-07
137	"DB01091"	"butenafine"	3.06918449942929e-07
138	"DB12598"	"nafamostat"	3.00495453076918e-07
139	"DB00175"	"pravastatin"	2.91600809475704e-07
140	"DB00289"	"atomoxetine"	2.8085826001877e-07
141	"DB00234"	"reboxetine"	2.75223530869975e-07
142	"DB01050"	"ibuprofen"	2.75165703852243e-07
143	"DB11254"	"hexylresorcinol"	2.68282111473802e-07
144	"DB08864"	"rilpivirine"	2.68233973994932e-07
145	"DB04871"	"lorcaserin"	2.30777680970868e-07
146	"DB00179"	"masoprocol"	2.10436471359414e-07
147	"DB01243"	"chloroxine"	2.09292422590374e-07
148	"DB00274"	"cefmetazole"	2.04911051216399e-07
149	"DB00939"	"meclofenamic acid"	2.01589876288973e-07
150	"DB00132"	"alpha-linolenic acid"	2.00246208654814e-07
151	"DB01037"	"selegiline"	1.98475199581751e-07
152	"DB00472"	"fluoxetine"	1.90840860905612e-07
153	"DB00677"	"isoflurophate"	1.8893309996763e-07
154	"DB01098"	"rosuvastatin"	1.81343268092841e-07
155	"DB11837"	"osilodrostat"	1.75926288432164e-07
156	"DB00758"	"clopidogrel"	1.72302580569317e-07
157	"DB04819"	"methapyrilene"	1.66685535835608e-07
158	"DB06691"	"pyrilamine"	1.66246810859858e-07
159	"DB01493"	"ethylestrenol"	1.65163675701575e-07
160	"DB13520"	"metergoline"	1.64582048226513e-07
161	"DB01009"	"ketoprofen"	1.64490340931631e-07
162	"DB00215"	"citalopram"	1.60909529188764e-07
163	"DB00239"	"oxiconazole"	1.5863149545612e-07
164	"DB00605"	"sulindac"	1.56261871841642e-07
165	"DB04115"	"berberine"	1.55139953242216e-07
166	"DB02266"	"flufenamic acid"	1.53398815868187e-07
167	"DB09081"	"idebenone"	1.50862279328922e-07
168	"DB00285"	"venlafaxine"	1.46951577615439e-07
169	""	"pipamazine"	1.45097077224589e-07
170	"DB04845"	"ixabepilone"	1.44873537011328e-07
171	"DB01104"	"sertraline"	1.43990181151391e-07
172	"DB00967"	"desloratadine"	1.39843575775911e-07
173	"DB00907"	"cocaine"	1.38493102611089e-07
174	"DB01242"	"clomipramine"	1.37142824102216e-07
175	"DB00420"	"promazine"	1.32426670061872e-07
176	"DB00543"	"amoxapine"	1.28699543567158e-07
177	"DB00540"	"nortriptyline"	1.2863243275259e-07
178	"DB00346"	"alfuzosin"	1.26623775408063e-07
179	"DB13679"	"dexchlorpheniramine"	1.23440688726223e-07
180	"DB05521"	"telaprevir"	1.23307682425055e-07
181	"DB09167"	"dosulepin"	1.21928504922117e-07
182	"DB00584"	"enalapril"	1.19667734609617e-07
183	"DB00744"	"zileuton"	1.17044625269328e-07
184	"DB00259"	"sulfanilamide"	1.16998447991168e-07
185	"DB00608"	"chloroquine"	1.1490279005423e-07
186	"DB01069"	"promethazine"	1.11731618056967e-07
187	"DB00476"	"duloxetine"	1.10178907330406e-07
188	"DB08882"	"linagliptin"	1.09281868080684e-07
189	"DB00519"	"trandolapril"	1.09214959285126e-07
190	"DB01149"	"nefazodone"	1.06268378583105e-07
191	"DB01142"	"doxepin"	1.05573778995272e-07
192	"DB00722"	"lisinopril"	1.04843408903883e-07
193	"DB00780"	"phenelzine"	1.03666935524727e-07
194	"DB00328"	"indomethacin"	1.00674820744309e-07
195	"DB00514"	"dextromethorphan"	9.95824297337971e-08
196	"DB01173"	"orphenadrine"	9.51834858005084e-08
197	"DB06203"	"alogliptin"	9.23566625092964e-08
198	"DB13791"	"penfluridol"	9.21784954442732e-08
199	"DB01151"	"desipramine"	9.14698194423987e-08
200	"DB01600"	"tiaprofenic acid"	9.10125582095294e-08
201	"DB01392"	"yohimbine"	9.10039044903258e-08
202	"DB00465"	"ketorolac"	9.06082631260389e-08
203	"DB00568"	"cinnarizine"	8.99586903717909e-08
204	"DB08981"	"fenbufen"	8.96040974002605e-08
205	""	"3,3',4',5-tetrachlorosalicylanilide"	8.67016290594993e-08
206	"DB00656"	"trazodone"	8.6210930780894e-08
207	"DB00881"	"quinapril"	8.61939466951201e-08
208	""	"gdc-0199"	8.50408989121021e-08
209	"DB06077"	"lumateperone"	8.24933160088001e-08
210	"DB00352"	"thioguanine"	8.1184115525559e-08
211	"DB13511"	"clebopride"	8.02449485904704e-08
212	"DB13550"	"bifemelane"	7.87186084263135e-08
213	"DB00582"	"voriconazole"	7.86820657158773e-08
214	"DB00433"	"prochlorperazine"	7.80336832301443e-08
215	"DB00477"	"chlorpromazine"	7.70379967932014e-08
216	"DB00648"	"mitotane"	7.7009334574795e-08
217	"DB00468"	"quinine"	7.64005015959583e-08
218	"DB00823"	"ethynodiol diacetate"	7.62893714432757e-08
219	"DB06820"	"sulconazole"	7.6276022776475e-08
220	"DB01357"	"mestranol"	7.33457058928214e-08
221	"DB11699"	"tropisetron"	7.32855664867236e-08
222	""	"tolonium chloride"	7.19893903851882e-08
223	"DB00909"	"zonisamide"	7.12464715657214e-08
224	"DB08873"	"boceprevir"	6.98329154317461e-08
225	"DB00604"	"cisapride"	6.86536475545312e-08
226	"DB00434"	"cyproheptadine"	6.77011950858037e-08
227	"DB00363"	"clozapine"	6.767222359382e-08
228	"DB00767"	"benzquinamide"	6.72751017235889e-08
229	"DB00542"	"benazepril"	6.67889651168867e-08
230	"DB00500"	"tolmetin"	6.6299240132181e-08
231	"DB00201"	"caffeine"	6.62745749556228e-08
232	"DB09070"	"tibolone"	6.46113163018231e-08
233	"DB06148"	"mianserin"	6.41899848443026e-08
234	"DB09477"	"enalaprilat"	6.35989051507929e-08
235	"DB01210"	"levobunolol"	6.33892086568051e-08
236	"DB12465"	"ketanserin"	6.29976430525737e-08
237	"DB01136"	"carvedilol"	6.29340941089935e-08
238	"DB09068"	"vortioxetine"	6.29320041183559e-08
239	"DB00178"	"ramipril"	6.29265578453835e-08
240	""	"zotarolimus"	6.17537299415728e-08
241	"DB00691"	"moexipril"	6.16087765829911e-08
242	"DB00251"	"terconazole"	5.97374922867802e-08
243	"DB00270"	"isradipine"	5.96797885688659e-08
244	"DB00790"	"perindopril"	5.9606891017287e-08
245	"DB00623"	"fluphenazine"	5.9532949577853e-08
246	"DB01261"	"sitagliptin"	5.91415250000126e-08
247	""	"florbetapir f 18"	5.90600282801384e-08
248	"DB04841"	"flunarizine"	5.87507411188449e-08
249	"DB00193"	"tramadol"	5.7514775337452e-08
250	"DB09149"	"florbetapir f-18"	5.73704580412789e-08
251	"DB09151"	"flutemetamol f 18"	5.73283670885878e-08
252	"DB00679"	"thioridazine"	5.69628626057156e-08
253	"DB15058"	"flutemetamol"	5.673893526549e-08
254	"DB00458"	"imipramine"	5.66749733870499e-08
255	""	"ajmalicine"	5.55385219403066e-08
256	""	"florbetaben f18"	5.53407596909991e-08
257	"DB00208"	"ticlopidine"	5.5296203421787e-08
258	""	"florbetapir"	5.5271651038441e-08
259	"DB00734"	"risperidone"	5.47617746497397e-08
260	"DB09225"	"zotepine"	5.466964155814e-08
261	"DB00502"	"haloperidol"	5.27143929044891e-08
262	"DB00334"	"olanzapine"	5.26109840539183e-08
263	"DB00622"	"nicardipine"	5.2235815686397e-08
264	"DB11581"	"venetoclax"	5.06865819826107e-08
265	"DB00586"	"diclofenac"	5.05659034079229e-08
266	"DB06216"	"asenapine"	5.05429249211594e-08
267	"DB00793"	"haloprogin"	5.02052209753503e-08
268	"DB01231"	"diphenidol"	5.01464040099572e-08
269	"DB01132"	"pioglitazone"	4.95622460989952e-08
270	"DB01224"	"quetiapine"	4.94473619868128e-08
271	"DB00321"	"amitriptyline"	4.74624821222532e-08
272	"DB00482"	"celecoxib"	4.69647223092957e-08
273	"DB00759"	"tetracycline"	4.6436398427334e-08
274	"DB04876"	"vildagliptin"	4.6027299744649e-08
275	"DB06144"	"sertindole"	4.45999477947685e-08
276	"DB00246"	"ziprasidone"	4.45639729778853e-08
277	"DB08995"	"diosmin"	4.4527172202568e-08
278	"DB00376"	"trihexyphenidyl"	4.35078374164375e-08
279	"DB06684"	"vilazodone"	4.31996148677943e-08
280	"DB06718"	"stanozolol"	4.27790330057196e-08
281	"DB01127"	"econazole"	4.22685462982878e-08
282	"DB01406"	"danazol"	4.13771949747507e-08
283	"DB08908"	"dimethyl"	4.0940332975633e-08
284	"DB06809"	"plerixafor"	4.01589168612146e-08
285	"DB01238"	"aripiprazole"	3.99927317476994e-08
286	"DB06343"	"teprotumumab"	3.97599531670968e-08
287	"DB00836"	"loperamide"	3.9485181369196e-08
288	"DB00972"	"azelastine"	3.93421790680484e-08
289	"DB01393"	"bezafibrate"	3.93230954342836e-08
290	"DB00598"	"labetalol"	3.88420411790844e-08
291	"DB01068"	"clonazepam"	3.8651433404897e-08
292	"DB01110"	"miconazole"	3.79186581702607e-08
293	""	"spi-1005"	3.48643550605582e-08
294	"DB01184"	"domperidone"	3.4740834917783e-08
295	"DB00412"	"rosiglitazone"	3.42260816513211e-08
296	"DB01880"	"3,4-dihydroxycinnamic acid"	3.40821409173352e-08
297	""	"b-lactams"	3.39265020137022e-08
298	"DB00857"	"terbinafine"	3.33263200471021e-08
299	"DB04216"	"quercetin"	3.27675290292585e-08
300	"DB00162"	"retinol"	3.27384517157408e-08
301	"DB00715"	"paroxetine"	3.2627055719021e-08
302	"DB00283"	"clemastine"	3.18392939572875e-08
303	"DB00197"	"troglitazone"	3.1311342348994e-08
304	"DB00985"	"dimenhydrinate"	3.10802484620569e-08
305	""	"rosiglitazone xr"	3.10337820329896e-08
306	"DB00969"	"alosetron"	3.08443658815085e-08
307	"DB00571"	"propranolol"	3.04681507117655e-08
308	"DB13873"	"fenofibric acid"	3.03069383876619e-08
309	"DB00637"	"astemizole"	3.02714383982772e-08
310	"DB15212"	"pemafibrate"	3.02009713288337e-08
311	"DB00908"	"quinidine"	2.97033232073144e-08
312	"DB04842"	"fluspirilene"	2.93252909244253e-08
313	"DB06287"	"temsirolimus"	2.90824768456748e-08
314	"DB01197"	"captopril"	2.90620274286106e-08
315	"DB13854"	"gamolenic acid"	2.87268839404369e-08
316	"DB08910"	"pomalidomide"	2.85634510309601e-08
317	"DB01590"	"everolimus"	2.84620987501406e-08
318	"DB00481"	"raloxifene"	2.64269919563719e-08
319	"DB00860"	"prednisolone"	2.52525782820695e-08
320	"DB06616"	"bosutinib"	2.50837703987026e-08
321	"DB01176"	"cyclizine"	2.48571911923085e-08
322	"DB00590"	"doxazosin"	2.46731037381137e-08
323	"DB11590"	"thimerosal"	2.44089386831732e-08
324	"DB00154"	"gamma-homolinolenic acid"	2.43515354886088e-08
325	"DB01268"	"sunitinib"	2.41069422121684e-08
326	"DB01016"	"glibenclamide"	2.3843086367126e-08
327	"DB12500"	"fedratinib"	2.36256048231962e-08
328	"DB00159"	"icosapent"	2.34694507108952e-08
329	"DB00445"	"epirubicin"	2.32067537691023e-08
330	"DB13953"	"estradiol benzoate"	2.28680649195959e-08
331	"DB00170"	"menadione"	2.28283381944222e-08
332	"DB09079"	"nintedanib"	2.26767564650992e-08
333	"DB00255"	"diethylstilbestrol"	2.24900105098517e-08
334	"DB12267"	"brigatinib"	2.24079992946162e-08
335	"DB00297"	"bupivacaine"	2.21379786370882e-08
336	"DB01026"	"ketoconazole"	2.18683541766415e-08
337	"DB00307"	"bexarotene"	2.12849126751918e-08
338	"DB14989"	"umbralisib"	2.11731637992472e-08
339	"DB00841"	"dobutamine"	2.10067186150372e-08
340	"DB00356"	"chlorzoxazone"	2.08644554763746e-08
341	"DB01074"	"perhexiline"	2.08269492902531e-08
342	"DB01186"	"pergolide"	2.07847990018552e-08
343	"DB04815"	"clioquinol"	2.06079321697514e-08
344	"DB00692"	"phentolamine"	2.04951388671029e-08
345	"DB06335"	"saxagliptin"	2.01254400075473e-08
346	""	"brilliant blue g ophthalmic solution"	1.97755325028208e-08
347	"DB06595"	"midostaurin"	1.97244650798009e-08
348	"DB00704"	"naltrexone"	1.94795308124018e-08
349	""	"carbachol"	1.93379651248124e-08
350	"DB11828"	"neratinib"	1.93260535232607e-08
351	"DB08865"	"crizotinib"	1.90967170147418e-08
352	"DB05100"	"prinomastat"	1.89055690754299e-08
353	"DB00675"	"tamoxifen"	1.88605726021406e-08
354	"DB00121"	"biotin"	1.8830285969393e-08
355	"DB12417"	"anagliptin"	1.82312798015007e-08
356	"DB00353"	"methylergonovine"	1.82003578193047e-08
357	"DB15594"	"brilliant blue g"	1.81760431922242e-08
358	"DB00977"	"ethinyl estradiol"	1.81264101133525e-08
359	"DB09389"	"norgestrel"	1.79310528625083e-08
360	"DB00580"	"valdecoxib"	1.79148740427572e-08
361	"DB00480"	"lenalidomide"	1.78992214303912e-08
362	"DB11950"	"teneligliptin"	1.77686105053889e-08
363	"DB04868"	"nilotinib"	1.75755959744515e-08
364	"DB11800"	"tivozanib"	1.72840904914953e-08
365	"DB00451"	"levothyroxine"	1.72192064864916e-08
366	"DB00602"	"ivermectin"	1.70495543310857e-08
367	"DB00279"	"liothyronine"	1.67938722547963e-08
368	"DB00257"	"clotrimazole"	1.67815138934387e-08
369	"DB00613"	"amodiaquine"	1.64551852893785e-08
370	""	"gentian violet"	1.64303520237634e-08
371	"DB09083"	"ivabradine"	1.63741773556056e-08
372	"DB01016"	"glyburide"	1.60140485344186e-08
373	"DB00448"	"lansoprazole"	1.58808131880561e-08
374	"DB00190"	"carbidopa"	1.575497458493e-08
375	"DB01254"	"dasatinib"	1.57137120533639e-08
376	"DB11986"	"entrectinib"	1.56951844344164e-08
377	"DB01183"	"naloxone"	1.5646585995935e-08
378	"DB00227"	"lovastatin"	1.54998693137941e-08
379	"DB00398"	"sorafenib"	1.5487625817611e-08
380	"DB00264"	"metoprolol"	1.52968419766183e-08
381	"DB00150"	"tryptophan"	1.50538219774601e-08
382	"DB00717"	"norethindrone"	1.49474084887522e-08
383	"DB01087"	"primaquine"	1.48277741254136e-08
384	"DB11718"	"encorafenib"	1.48206496556325e-08
385	"DB01118"	"amiodarone"	1.47838759512048e-08
386	"DB01182"	"propafenone"	1.4602715512598e-08
387	"DB05294"	"vandetanib"	1.45131280815671e-08
388	"DB00515"	"cisplatin"	1.44896005348271e-08
389	""	"sr141716a"	1.43622575285291e-08
390	"DB00762"	"irinotecan"	1.43321676732138e-08
391	"DB06689"	"ethanolamine"	1.40544013522165e-08
392	"DB00966"	"telmisartan"	1.37404527604547e-08
393	"DB09063"	"ceritinib"	1.37373494875301e-08
394	"DB01212"	"ceftriaxone"	1.34890347807645e-08
395	"DB00589"	"lisuride"	1.33246476122369e-08
396	"DB09372"	"tannic acid"	1.33081305200184e-08
397	"DB00935"	"oxymetazoline"	1.32186425384077e-08
398	"DB11994"	"diacerein"	1.31745588577158e-08
399	"DB12010"	"fostamatinib"	1.31319590576383e-08
400	"DB01544"	"flunitrazepam"	1.31074588959227e-08
401	"DB01012"	"cinacalcet"	1.30289581329103e-08
402	"DB01109"	"heparin"	1.30139331222678e-08
403	"DB00850"	"perphenazine"	1.29113641276959e-08
404	"DB00425"	"zolpidem"	1.28921165243495e-08
405	"DB11886"	"infigratinib"	1.27956403045351e-08
406	"DB00661"	"verapamil"	1.26780689826021e-08
407	"DB03166"	"acetic acid"	1.24921661664664e-08
408	"DB00756"	"hexachlorophene"	1.24044942617376e-08
409	"DB13472"	"cyclofenil"	1.23121778671931e-08
410	"DB00569"	"fondaparinux"	1.22034479814268e-08
411	"DB09276"	"gold sodium thiomalate"	1.19167368213252e-08
412	"DB04573"	"estriol"	1.18653527151044e-08
413	"DB09073"	"palbociclib"	1.18218985421327e-08
414	"DB00503"	"ritonavir"	1.13608106677287e-08
415	"DB06769"	"bendamustine"	1.132403913544e-08
416	"DB01039"	"fenofibrate"	1.10764045044301e-08
417	"DB09129"	"chromic"	1.10747847134362e-08
418	""	"bay 80-6946"	1.10309338891718e-08
419	"DB00861"	"diflunisal"	1.09063099068342e-08
420	"DB00773"	"etoposide"	1.08297664733951e-08
421	""	"salicyclic acid"	1.06706016904506e-08
422	"DB00455"	"loratadine"	1.04005969576249e-08
423	"DB00968"	"methyldopa"	1.03586377642764e-08
424	"DB16216"	"lazertinib"	1.03098208942887e-08
425	"DB08895"	"tofacitinib"	1.02232156702418e-08
426	"DB00982"	"isotretinoin"	9.80285924835233e-09
427	""	"pyrogallol"	9.69852444027893e-09
428	"DB00796"	"candesartan cilexetil"	9.34843990352309e-09
429	"DB00988"	"dopamine"	9.32284594449984e-09
430	"DB00549"	"zafirlukast"	9.23901683178256e-09
431	"DB00619"	"imatinib"	9.05626615470003e-09
432	"DB01045"	"rifampin"	9.03828796591925e-09
433	"DB06401"	"bazedoxifene"	8.67153581610825e-09
434	"DB00220"	"nelfinavir"	8.60440977755873e-09
435	"DB06176"	"romidepsin"	8.5271516285612e-09
436	"DB06249"	"arzoxifene"	8.51333085963435e-09
437	"DB00281"	"lidocaine"	8.17042503404151e-09
438	"DB00783"	"estradiol"	8.12628742593325e-09
439	"DB05013"	"ingenol mebutate"	7.97028955300469e-09
440	"DB12235"	"estetrol"	7.96177719107576e-09
441	"DB01205"	"flumazenil"	7.95704396310809e-09
442	"DB00655"	"estrone"	7.86411092749837e-09
443	"DB02546"	"vorinostat"	7.82425527011045e-09
444	"DB06202"	"lasofoxifene"	7.68479649279669e-09
445	""	"17&beta;-estradiol"	7.66935042290797e-09
446	"DB00877"	"sirolimus"	7.57519473278154e-09
447	"DB01233"	"metoclopramide"	7.5011308486909e-09
448	"DB08875"	"cabozantinib"	7.46306243015683e-09
449	""	"tribromsalan"	7.435472073801e-09
450	"DB00317"	"gefitinib"	7.41468648535928e-09
451	"DB14533"	"zinc chloride"	7.40328318662885e-09
452	"DB00027"	"gramicidin"	7.37300213974334e-09
453	"DB00558"	"zanamivir"	7.31451439414557e-09
454	"DB00471"	"montelukast"	7.30674143045439e-09
455	"DB12483"	"copanlisib"	7.28387305162065e-09
456	"DB12001"	"abemaciclib"	7.18606638783437e-09
457	"DB05015"	"belinostat"	7.14631949757713e-09
458	"DB00831"	"trifluoperazine"	6.92621448475114e-09
459	"DB00803"	"colistin"	6.87234967489985e-09
460	"DB09330"	"osimertinib"	6.76184845943235e-09
461	"DB08877"	"ruxolitinib"	6.74645783398495e-09
462	"DB00530"	"erlotinib"	6.60587416542246e-09
463	"DB00882"	"clomiphene"	6.58717453032457e-09
464	"DB06692"	"aprotinin"	6.40879580609096e-09
465	"DB12015"	"alpelisib"	6.35320677855329e-09
466	"DB06603"	"panobinostat"	6.3102821301211e-09
467	"DB00513"	"aminocaproic acid"	6.18638563964822e-09
468	"DB00437"	"allopurinol"	6.11754524444063e-09
469	"DB09054"	"idelalisib"	6.03376217101166e-09
470	"DB01235"	"levodopa"	6.01045383092485e-09
471	"DB08901"	"ponatinib"	5.95005870100493e-09
472	""	"omidenepag"	5.91866790166049e-09
473	"DB05332"	"romiplostim"	5.84731316510945e-09
474	"DB08916"	"afatinib"	5.83799834298662e-09
475	"DB00302"	"tranexamic acid"	5.79548990424234e-09
476	""	"gw685698x"	5.70138538436075e-09
477	"DB00995"	"auranofin"	5.55618890145102e-09
478	"DB00421"	"spironolactone"	5.43569648574457e-09
479	"DB15982"	"berotralstat"	5.42209734315788e-09
480	"DB12319"	"benzbromarone"	5.27104627096601e-09
481	"DB04813"	"bithionol"	5.20353905848653e-09
482	"DB00795"	"sulfasalazine"	5.179964722122e-09
483	"DB00235"	"milrinone"	5.12059924037562e-09
484	"DB00977"	"ethinylestradiol"	5.06440181435396e-09
485	"DB05262"	"oxypurinol"	4.98151633249888e-09
486	"DB00957"	"norgestimate"	4.96836777241382e-09
487	"DB00755"	"tretinoin"	4.96665266225397e-09
488	"DB00897"	"triazolam"	4.94252292705778e-09
489	"DB06589"	"pazopanib"	4.85598767495646e-09
490	"DB00864"	"tacrolimus"	4.83479975833823e-09
491	"DB00402"	"eszopiclone"	4.79117256573291e-09
492	"DB00700"	"eplerenone"	4.74773961983923e-09
493	"DB00947"	"fulvestrant"	4.74471394808742e-09
494	"DB06211"	"doripenem"	4.69939822623333e-09
495	"DB05676"	"apremilast"	4.68851722338565e-09
